timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,URL,Latency
1443559590011,259,Hello json,502,Bad Gateway,Azure A1 2-278,text,false,346,151,151,http://azua1.test.itcrowd/json,259
1443559590150,136,Multiple DB update 50,502,Bad Gateway,Azure A1 2-62,text,false,346,151,151,http://azua1.test.itcrowd/updates?queries=50,136
1443559590158,129,Multiple DB update 5,502,Bad Gateway,Azure A1 2-204,text,false,346,151,151,http://azua1.test.itcrowd/updates?queries=5,129
1443559583276,7014,simple DB,200,OK,Azure A1 2-208,text,true,274,151,151,http://azua1.test.itcrowd/db,7014
1443559590162,133,Fortunes,502,Bad Gateway,Azure A1 2-271,text,false,346,150,150,http://azua1.test.itcrowd/fortunes,133
1443559590184,129,Multiple DB update 50,502,Bad Gateway,Azure A1 2-41,text,false,346,151,151,http://azua1.test.itcrowd/updates?queries=50,129
1443559590188,129,Multiple DB update 50,502,Bad Gateway,Azure A1 2-269,text,false,346,151,151,http://azua1.test.itcrowd/updates?queries=50,129
1443559583315,7002,simple DB,200,OK,Azure A1 2-158,text,true,274,151,151,http://azua1.test.itcrowd/db,7002
1443559590191,130,Multiple DB 50,502,Bad Gateway,Azure A1 2-207,text,false,346,151,151,http://azua1.test.itcrowd/db?queries=50,130
1443559590190,131,Multiple DB 500,502,Bad Gateway,Azure A1 2-273,text,false,346,151,151,http://azua1.test.itcrowd/db?queries=500,131
1443559590204,130,Fortunes,502,Bad Gateway,Azure A1 2-272,text,false,346,151,151,http://azua1.test.itcrowd/fortunes,130
1443559590204,131,Multiple DB update 5,502,Bad Gateway,Azure A1 2-268,text,false,346,151,151,http://azua1.test.itcrowd/updates?queries=5,131
1443559583156,7197,Multiple DB 500,200,OK,Azure A1 2-203,text,true,16150,150,150,http://azua1.test.itcrowd/db?queries=500,7068
1443559590112,258,Hello json,502,Bad Gateway,Azure A1 2-279,text,false,346,150,150,http://azua1.test.itcrowd/json,258
1443559590256,131,Multiple DB 50,502,Bad Gateway,Azure A1 2-275,text,false,346,150,150,http://azua1.test.itcrowd/db?queries=50,131
1443559583391,6996,Multiple DB 5,200,OK,Azure A1 2-117,text,true,402,150,150,http://azua1.test.itcrowd/db?queries=5,6996
1443559590287,129,Multiple DB update 5,502,Bad Gateway,Azure A1 2-62,text,false,346,151,151,http://azua1.test.itcrowd/updates?queries=5,129
1443559582095,8323,Multiple DB update 500,200,OK,Azure A1 2-29,text,true,16145,151,151,http://azua1.test.itcrowd/updates?queries=500,8191
1443559590310,129,Multiple DB 5,502,Bad Gateway,Azure A1 2-208,text,false,346,150,150,http://azua1.test.itcrowd/db?queries=5,129
1443559590310,134,Multiple DB update 500,502,Bad Gateway,Azure A1 2-271,text,false,346,150,150,http://azua1.test.itcrowd/updates?queries=500,134
1443559590320,130,Multiple DB 5,502,Bad Gateway,Azure A1 2-158,text,false,346,150,150,http://azua1.test.itcrowd/db?queries=5,130
1443559590320,130,Multiple DB update 5,502,Bad Gateway,Azure A1 2-269,text,false,346,150,150,http://azua1.test.itcrowd/updates?queries=5,130
1443559590320,130,Multiple DB update 5,502,Bad Gateway,Azure A1 2-41,text,false,346,150,150,http://azua1.test.itcrowd/updates?queries=5,130
1443559590322,130,Fortunes,502,Bad Gateway,Azure A1 2-273,text,false,346,148,148,http://azua1.test.itcrowd/fortunes,130
1443559590322,130,Multiple DB 500,502,Bad Gateway,Azure A1 2-207,text,false,346,148,148,http://azua1.test.itcrowd/db?queries=500,130
1443559590335,130,Multiple DB update 500,502,Bad Gateway,Azure A1 2-272,text,false,346,148,148,http://azua1.test.itcrowd/updates?queries=500,130
1443559590214,260,Hello json,502,Bad Gateway,Azure A1 2-280,text,false,346,148,148,http://azua1.test.itcrowd/json,260
1443559583355,7135,Multiple DB update 50,500,Internal Server Error,Azure A1 2-23,text,false,848,148,148,http://azua1.test.itcrowd/updates?queries=50,7135
1443559590356,135,Fortunes,502,Bad Gateway,Azure A1 2-203,text,false,346,148,148,http://azua1.test.itcrowd/fortunes,135
1443559590389,130,Multiple DB 50,502,Bad Gateway,Azure A1 2-117,text,false,346,149,149,http://azua1.test.itcrowd/db?queries=50,130
1443559590389,132,Multiple DB 500,502,Bad Gateway,Azure A1 2-275,text,false,346,149,149,http://azua1.test.itcrowd/db?queries=500,132
1443559583303,7226,Hello json,200,OK,Azure A1 2-211,text,true,270,149,149,http://azua1.test.itcrowd/json,7226
1443559583416,7148,Multiple DB update 5,200,OK,Azure A1 2-30,text,true,403,149,149,http://azua1.test.itcrowd/updates?queries=5,7148
1443559590445,134,Multiple DB update 50,502,Bad Gateway,Azure A1 2-271,text,false,346,148,148,http://azua1.test.itcrowd/updates?queries=50,134
